Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Age,Location,RoadRail,Amenities,Garage,Exter Overall,Bsmt Overall,Garage Overall,Kitchen Overall,Fireplace Overall,Pool Overall,Bath AbvGrd,Multi Bsmt Type,Total FinBsmt SF
109,533352170,60,RL,68.0,13517.0,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,6,533.0,1,0.0,192.0,725.0,GasA,5,1,SBrkr,725.0,754.0,0.0,1479.0,0,0,2,1,3,1,4,6,8,0,0,2,1976,2,2,475.0,3,3,Y,0.0,44.0,0.0,0.0,0.0,0.0,0,0,0,0.0,3,2010,WD ,130500.0,16,4,1,0,1,12,9,9,4,0,0.0,2,6,533.0
544,531379050,60,RL,43.0,11492.0,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,637.0,1,0.0,276.0,913.0,GasA,5,1,SBrkr,913.0,1209.0,0.0,2122.0,1,0,2,1,4,1,4,8,8,1,3,2,1997,2,2,559.0,3,3,Y,0.0,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,4,2009,WD ,220000.0,24,3,0,0,1,12,12,9,4,3,0.0,2,6,637.0
153,535304180,20,RL,68.0,7922.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,3,1,SBrkr,1057.0,0.0,0.0,1057.0,1,0,1,0,3,1,4,5,8,0,0,6,1953,3,1,246.0,3,3,Y,0.0,52.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,2010,WD ,109000.0,14,3,0,0,1,12,9,9,4,0,0.0,0,6,731.0
318,916386060,60,RL,73.0,9802.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,384.0,384.0,GasA,4,1,SBrkr,744.0,700.0,0.0,1444.0,0,0,2,1,3,1,3,7,8,0,0,4,2007,1,2,400.0,3,3,Y,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,4,2010,WD ,174000.0,14,1,0,0,1,9,12,9,3,0,0.0,2,1,0.0
255,906425045,50,RL,82.0,14235.0,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,1,1,0.0,1,0.0,676.0,676.0,GasA,3,1,SBrkr,831.0,614.0,0.0,1445.0,0,0,2,0,3,1,3,6,8,0,0,6,1957,3,2,484.0,3,3,N,0.0,59.0,0.0,0.0,0.0,0.0,0,0,0,0.0,3,2010,WD ,138500.0,28,3,0,0,1,9,8,9,3,0,0.0,0,1,0.0
138,535126040,20,RL,137.0,16492.0,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,3,713.0,557.0,1517.0,GasA,5,1,SBrkr,1888.0,0.0,0.0,1888.0,0,0,2,1,2,1,4,6,5,1,4,2,1966,1,2,578.0,3,3,Y,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6,2010,WD ,190000.0,19,2,0,1,1,12,9,9,4,4,0.0,2,15,960.0
2827,908186070,180,RM,35.0,3675.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,1,0.0,0.0,547.0,GasA,4,1,SBrkr,1072.0,0.0,0.0,1072.0,1,0,2,0,2,1,3,5,8,0,0,3,2005,1,2,525.0,3,3,Y,0.0,44.0,0.0,0.0,0.0,0.0,0,0,0,0.0,6,2006,New,140000.0,15,2,0,0,1,9,12,9,3,0,0.0,0,6,547.0
145,535154050,20,RL,68.0,12160.0,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,1000.0,1,0.0,188.0,1188.0,GasA,2,1,SBrkr,1188.0,0.0,0.0,1188.0,1,0,1,0,3,1,3,6,8,0,0,2,1959,2,2,531.0,3,3,Y,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0.0,5,2010,COD,142000.0,62,1,0,0,1,9,9,9,3,0,0.0,0,3,1000.0
1942,535353130,20,RL,68.0,15783.0,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,1,0.0,632.0,924.0,GasA,3,1,SBrkr,924.0,0.0,0.0,924.0,0,0,1,0,2,1,3,6,8,0,0,6,1952,3,1,420.0,3,3,Y,0.0,324.0,0.0,0.0,0.0,0.0,0,2,4,400.0,6,2007,WD ,112500.0,69,1,1,0,1,9,9,9,3,0,0.0,0,3,292.0
1956,535426130,60,RL,70.0,11606.0,Pave,0,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,1,0.0,390.0,1040.0,GasA,3,1,SBrkr,1040.0,1040.0,0.0,2080.0,0,1,1,2,5,1,2,9,8,2,3,2,1969,3,2,504.0,3,3,Y,335.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,9,2007,WD ,135000.0,52,1,0,0,1,9,12,9,2,6,0.0,2,3,650.0
