Lot Area,Overall Qual,Gr Liv Area,Full Bath,Bedroom AbvGr,Kitchen Qual,Age,Location,RoadRail,Exter Overall,Bsmt Overall,Garage Overall,Kitchen Overall,Fireplace Overall,Bath AbvGrd,Multi Bsmt Type,Total FinBsmt SF
13517.0,6,1479.0,2,3,4,16,4,1,12,9,9,4,0,2,6,533.0
11492.0,7,2122.0,2,4,4,24,3,0,12,12,9,4,3,2,6,637.0
7922.0,5,1057.0,1,3,4,14,3,0,12,9,9,4,0,0,6,731.0
9802.0,5,1444.0,2,3,3,14,1,0,9,12,9,3,0,2,1,0.0
14235.0,6,1445.0,2,3,3,28,3,0,9,8,9,3,0,0,1,0.0
16492.0,6,1888.0,2,2,4,19,2,0,12,9,9,4,4,2,15,960.0
3675.0,6,1072.0,2,2,3,15,2,0,9,12,9,3,0,0,6,547.0
12160.0,5,1188.0,1,3,3,62,1,0,9,9,9,3,0,0,3,1000.0
15783.0,5,924.0,1,2,3,69,1,1,9,9,9,3,0,0,3,292.0
11606.0,5,2080.0,1,5,2,52,1,0,9,12,9,2,6,2,3,650.0
1680.0,6,987.0,1,2,3,50,2,0,9,9,9,3,0,1,5,387.0
7488.0,7,1208.0,2,2,4,16,3,0,12,12,9,4,0,0,6,393.0
26400.0,5,2016.0,1,4,3,14,2,1,12,0,9,3,3,0,0,0.0
2645.0,8,1607.0,2,3,4,21,4,0,12,12,9,4,0,2,6,813.0
9627.0,7,1361.0,2,3,4,14,3,0,12,12,9,4,0,0,6,24.0
10114.0,5,1430.0,2,3,4,16,1,0,9,15,9,4,0,0,1,0.0
4571.0,5,1344.0,1,4,3,71,1,0,9,9,4,3,0,0,1,0.0
8816.0,5,1121.0,1,3,3,58,2,1,9,9,9,3,0,0,3,651.0
8197.0,6,1285.0,1,3,3,44,2,0,9,9,9,3,3,1,1,0.0
8640.0,7,1547.0,2,3,4,12,2,0,9,12,9,4,0,2,6,24.0
8724.0,5,894.0,1,3,3,53,1,0,9,12,9,3,1,0,4,492.0
5664.0,8,1659.0,2,2,5,21,4,0,12,12,9,5,5,0,6,1158.0
12867.0,8,2253.0,2,3,5,15,4,0,12,15,9,5,4,2,1,0.0
7980.0,6,1187.0,2,3,3,14,4,0,12,12,9,3,0,0,5,935.0
34650.0,5,1056.0,1,3,3,66,1,0,9,9,9,3,0,0,3,1056.0
10573.0,6,1453.0,2,3,3,60,2,0,9,9,9,3,3,0,3,1312.0
8450.0,5,894.0,1,3,3,12,4,1,12,9,9,3,4,0,24,670.0
11700.0,5,1938.0,2,4,4,26,1,0,9,9,9,4,4,0,4,606.0
8250.0,5,1991.0,2,4,3,15,3,1,12,9,0,6,0,0,1,0.0
8064.0,5,924.0,1,3,3,15,3,1,12,9,9,3,1,0,1,0.0
9600.0,8,2524.0,2,4,4,40,4,0,12,12,9,4,4,2,5,1104.0
11435.0,8,1517.0,1,3,4,71,4,0,9,12,9,4,8,0,1,0.0
9549.0,8,1494.0,1,2,5,25,4,0,16,16,9,5,4,1,12,1494.0
10950.0,6,948.0,1,2,3,69,2,0,9,9,9,3,0,0,5,441.0
